,Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,Sugar and Spice,1989–,N/A,06 Apr 1989,25 min,N/A,8.1,23,tt0363379,
0,My Week with Marilyn,2011,R,23 Dec 2011,99 min,65,7.0,"82,007",tt1655420,"$12,600,000"
0,Mud,2012,PG-13,10 May 2013,130 min,76,7.4,"163,320",tt1935179,"$21,589,307"
0,Moneyball,2011,PG-13,23 Sep 2011,133 min,87,7.6,"349,587",tt1210166,"$75,605,492"
0,This Is 40,2012,R,21 Dec 2012,134 min,59,6.2,"124,171",tt1758830,"$65,200,000"
0,Music of the Heart,1999,PG,29 Oct 1999,124 min,54,6.8,"11,502",tt0166943,N/A
0,Superbad,2007,R,17 Aug 2007,113 min,76,7.6,"508,694",tt0829482,"$121,463,226"
0,"Synecdoche, New York",2008,R,05 Feb 2009,124 min,67,7.6,"78,444",tt0383028,"$3,000,000"
0,One Flew Over the Cuckoo's Nest,1975,R,19 Nov 1975,133 min,83,8.7,"884,641",tt0073486,N/A
0,Milk,2008,R,30 Jan 2009,128 min,84,7.5,"161,742",tt1013753,"$31,716,847"
0,Smashed,2012,R,14 Dec 2012,81 min,71,6.8,"16,181",tt2063781,"$375,981"
0,Sexual Life,2004,R,19 Jun 2004,96 min,N/A,5.0,900,tt0376874,N/A
0,Saving Mr. Banks,2013,PG-13,20 Dec 2013,125 min,65,7.5,"147,963",tt2140373,"$53,260,198"
0,Real Genius,1985,PG,07 Aug 1985,108 min,71,7.0,"29,339",tt0089886,N/A
0,State and Main,2000,R,12 Jan 2001,105 min,75,6.7,"20,113",tt0120202,"$5,770,800"
0,Little Men,2016,PG,04 May 2017,85 min,86,6.7,"6,675",tt4919484,"$702,191"
0,Raising Arizona,1987,PG-13,17 Apr 1987,94 min,68,7.3,"123,452",tt0093822,N/A
0,Semi-Pro,2008,R,29 Feb 2008,91 min,47,5.8,"77,000",tt0839980,"$33,370,443"
0,Lincoln,2012,PG-13,16 Nov 2012,150 min,86,7.3,"239,062",tt0443272,"$129,477,447"
0,Magnolia,1999,R,07 Jan 2000,188 min,77,8.0,"282,457",tt0175880,N/A
0,Malcolm X,1992,PG-13,18 Nov 1992,202 min,72,7.7,"82,459",tt0104797,N/A
0,Margaret,2011,R,01 Jun 2012,150 min,61,6.4,"15,594",tt0466893,"$46,495"
0,Stepmom,1998,PG-13,25 Dec 1998,125 min,58,6.8,"58,507",tt0120686,N/A
0,Light Sleeper,1992,R,13 Mar 1992,103 min,70,6.9,"5,232",tt0102307,N/A
0,Kundun,1997,PG-13,16 Jan 1998,134 min,74,7.0,"25,507",tt0119485,N/A
0,Papadopoulos & Sons,2012,Not Rated,05 Apr 2013,105 min,N/A,6.0,"2,228",tt2006810,N/A
0,Peggy Sue Got Married,1986,PG-13,10 Oct 1986,103 min,74,6.3,"31,521",tt0091738,N/A
0,Kramer vs. Kramer,1979,PG,19 Dec 1979,105 min,77,7.8,"128,018",tt0079417,N/A
0,Storytelling,2001,R,08 Nov 2001,87 min,50,6.8,"16,848",tt0250081,"$850,758"
0,Puppet Master: The Littlest Reich,2018,Not Rated,17 Aug 2018,90 min,52,5.4,"3,192",tt5685006,N/A
0,Midnight Cowboy,1969,R,16 Jun 1969,113 min,79,7.8,"97,754",tt0064665,N/A
0,Napoleon Dynamite,2004,PG,27 Aug 2004,96 min,64,6.9,"193,466",tt0374900,"$44,478,018"
0,Mr. Blandings Builds His Dream House,1948,Approved,04 Jun 1948,94 min,N/A,7.3,"9,775",tt0040613,N/A
0,Next Friday,2000,R,12 Jan 2000,98 min,41,6.2,"35,810",tt0195945,N/A
0,Office Space,1999,R,19 Feb 1999,89 min,68,7.7,"236,377",tt0151804,N/A
0,Mumford,1999,R,24 Sep 1999,112 min,62,6.8,"8,660",tt0140397,N/A
0,Ice Storm: The Salé and Pelletier Affair,2006,N/A,07 Jan 2006,44 min,N/A,7.1,9,tt0758914,N/A
0,Mr. Deeds Goes to Town,1936,Not Rated,12 Apr 1936,115 min,N/A,7.9,"19,113",tt0027996,N/A
0,"Ni vu, ni connu",2011,N/A,07 Nov 2011,100 min,N/A,6.1,14,tt2070755,N/A
0,Invictus,2009,PG-13,11 Dec 2009,134 min,74,7.3,"146,753",tt1057500,"$37,431,431"
0,Margot at the Wedding,2007,R,14 Dec 2007,91 min,66,6.0,"19,133",tt0757361,"$1,929,081"
0,Major League,1989,R,07 Apr 1989,107 min,62,7.2,"60,183",tt0097815,N/A
0,Kafka,1991,PG-13,15 Nov 1991,98 min,46,6.9,"9,089",tt0102181,N/A
0,I Am Sam,2001,PG-13,25 Jan 2002,132 min,28,7.7,"140,577",tt0277027,"$40,270,895"
0,Meet John Doe,1941,Not Rated,03 May 1941,122 min,N/A,7.7,"11,442",tt0033891,N/A
0,Hitchcock,2012,PG-13,14 Dec 2012,98 min,55,6.8,"70,613",tt0975645,"$6,002,708"
0,Man on the Moon,1999,R,22 Dec 1999,118 min,58,7.4,"121,427",tt0125664,N/A
0,Malibu's Most Wanted,2003,PG-13,18 Apr 2003,86 min,43,5.1,"18,248",tt0328099,"$34,308,901"
0,Living in Oblivion,1995,R,21 Jul 1995,90 min,81,7.5,"15,918",tt0113677,N/A
0,Kids,1995,Unrated,01 Sep 1995,91 min,63,7.1,"71,099",tt0113540,N/A
0,God Help the Girl,2014,Unrated,05 Sep 2014,112 min,58,6.4,"8,369",tt2141751,N/A
0,Hesher,2010,R,25 Jun 2011,106 min,45,7.0,"49,780",tt1403177,"$300,000"
0,Legally Blonde,2001,PG-13,13 Jul 2001,96 min,59,6.3,"178,156",tt0250494,"$95,001,351"
0,Life,2017,R,24 Mar 2017,104 min,54,6.6,"199,775",tt5442430,"$30,180,466"
0,Life as a House,2001,R,09 Nov 2001,125 min,45,7.5,"42,248",tt0264796,"$15,412,701"
0,Little Athens,2005,R,01 Jun 2005,103 min,N/A,5.6,902,tt0417907,N/A
0,Gladiator,2000,R,05 May 2000,155 min,67,8.5,"1,295,815",tt0172495,N/A
0,Get on Up,2014,PG-13,01 Aug 2014,139 min,71,6.9,"20,086",tt2473602,"$22,838,662"
0,Gods and Monsters,1998,R,04 Nov 1998,105 min,74,7.4,"28,694",tt0120684,N/A
