Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
Cable Guy,1996,PG-13,14 Jun 1996,96 min,56,6.1,"148,526",tt0115798,N/A,Cable Guy,Thriller,5,3,6,0,4
Carrie,1976,R,16 Nov 1976,98 min,85,7.4,"161,967",tt0074285,N/A,Carrie,Horror,2,1,8,4,14
Case 39,2009,R,01 Oct 2010,109 min,25,6.2,"75,799",tt0795351,"$13,248,477",Case 39,Mystery,0,0,3,1,5
Cellular,2004,PG-13,10 Sep 2004,94 min,60,6.5,"91,152",tt0337921,"$32,003,620",Cellular,Mystery,20,7,28,2,29
Changeling,2008,R,31 Oct 2008,141 min,63,7.7,"232,041",tt0824747,"$35,707,327",Changeling,Mystery,1,1,6,4,4
Charade,1963,Passed,05 Dec 1963,113 min,83,7.9,"65,288",tt0056923,N/A,Charade,Mystery,0,0,1,0,0
Chasing Sleep,2000,R,16 May 2001,104 min,N/A,6.3,"3,086",tt0221069,N/A,Chasing Sleep,Horror,2,5,8,10,6
Cherry Falls,2000,R,25 Aug 2000,92 min,N/A,5.2,"11,902",tt0175526,N/A,Cherry Falls,Mystery,2,0,4,33,8
Chinatown,1974,R,20 Jun 1974,130 min,92,8.2,"283,470",tt0071315,N/A,Chinatown,Mystery,4,8,2,1,6
Citizen Kane,1941,PG,05 Sep 1941,119 min,100,8.3,"386,432",tt0033467,N/A,Citizen Kane,Mystery,0,0,0,0,0
Color of Night,1994,R,19 Aug 1994,121 min,36,5.2,"22,268",tt0109456,N/A,Color of Night,Mystery,7,7,13,55,19
Constantine,2005,R,18 Feb 2005,121 min,50,7.0,"296,249",tt0360486,"$75,400,000",Constantine,Horror,6,2,10,2,19
Copycat,1995,R,27 Oct 1995,123 min,54,6.6,"52,422",tt0112722,N/A,Copycat,Mystery,8,11,18,13,10
Crying Game,1992,R,19 Feb 1993,112 min,90,7.2,"49,460",tt0104036,N/A,Crying Game,Romance,2,7,0,71,3
Cube,1997,R,11 Jul 1998,90 min,61,7.2,"204,667",tt0123755,N/A,Cube,Mystery,0,0,0,0,0
Dances with Wolves,1990,PG-13,21 Nov 1990,181 min,72,8.0,"233,089",tt0099348,N/A,Dances with Wolves,Western,3,2,5,0,0
