Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
The Crow: City of Angels,1996,R,30 Aug 1996,84 min,N/A,4.7,"18,798",tt0115986,N/A,The Crow: City of Angels,Fantasy,5,4,4,21,4
The Curious Case of Benjamin Button,2008,PG-13,25 Dec 2008,166 min,70,7.8,"572,055",tt0421715,"$127,490,802",The Curious Case of Benjamin Button,Mystery,4,0,5,2,6
The Damned United,2009,R,27 Mar 2009,98 min,81,7.5,"40,449",tt1226271,"$315,306",The Damned United,Drama,0,0,0,57,0
The Dark Knight Rises,2012,PG-13,20 Jul 2012,164 min,78,8.4,"1,468,104",tt1345836,"$448,130,642",The Dark Knight Rises,Thriller,4,4,1,0,0
The Day the Earth Stood Still,2008,PG-13,12 Dec 2008,104 min,40,5.5,"160,944",tt0970416,"$79,136,963",The Day the Earth Stood Still,Sci-Fi,0,0,0,0,0
The Debt,2010,R,31 Aug 2011,113 min,65,6.8,"63,017",tt1226753,"$31,146,570",The Debt,Thriller,1,0,0,26,3
The Deer Hunter,1978,R,23 Feb 1979,183 min,86,8.1,"302,090",tt0077416,N/A,The Deer Hunter,War,10,3,22,68,19
The Departed,2006,R,06 Oct 2006,151 min,85,8.5,"1,150,373",tt0407887,"$132,300,000",The Departed,Thriller,10,2,2,194,22
The Descendants,2011,R,09 Dec 2011,115 min,84,7.3,"229,150",tt1033575,"$78,500,000",The Descendants,Comedy,1,4,7,25,13
The Devil Wears Prada,2006,PG-13,30 Jun 2006,109 min,62,6.9,"359,642",tt0458352,"$124,700,000",The Devil Wears Prada,Comedy,8,0,2,0,3
The Distinguished Gentleman,1992,R,04 Dec 1992,112 min,45,5.9,"14,888",tt0104114,N/A,The Distinguished Gentleman,Comedy,20,3,10,12,24
The Doors,1991,R,01 Mar 1991,140 min,62,7.2,"81,677",tt0101761,N/A,The Doors,Drama,13,0,4,95,25
The Elephant Man,1980,PG,10 Oct 1980,124 min,78,8.1,"212,484",tt0080678,N/A,The Elephant Man,Drama,0,0,2,0,0
The English Patient,1996,R,06 Dec 1996,162 min,87,7.4,"174,208",tt0116209,N/A,The English Patient,Romance,0,1,0,9,0
The Fabulous Baker Boys,1989,R,13 Oct 1989,114 min,85,6.8,"21,091",tt0097322,N/A,The Fabulous Baker Boys,Romance,5,0,15,27,9
The Family Man,2000,PG-13,22 Dec 2000,125 min,42,6.8,"100,623",tt0218967,N/A,The Family Man,Romance,2,2,17,1,6
The Fault in Our Stars,2014,PG-13,06 Jun 2014,126 min,69,7.7,"334,214",tt2582846,N/A,The Fault in Our Stars,Romance,5,0,2,3,8
The Fifth Element,1997,PG-13,09 May 1997,126 min,52,7.7,"423,303",tt0119116,N/A,The Fifth Element,Sci-Fi,1,1,3,8,8
The Fighter,2010,R,17 Dec 2010,116 min,79,7.8,"332,259",tt0964517,"$93,571,803",The Fighter,Drama,9,2,1,51,20
The Flintstones,1994,PG,27 May 1994,91 min,38,4.9,"73,956",tt0109813,N/A,The Flintstones,Family,2,1,2,0,0
The French Connection,1971,R,09 Oct 1971,104 min,94,7.7,"106,236",tt0067116,N/A,The French Connection,Thriller,13,7,2,3,12
The Fugitive,1993,PG-13,06 Aug 1993,130 min,87,7.8,"259,480",tt0106977,N/A,The Fugitive,Mystery,2,2,4,1,7
The Game,1997,R,12 Sep 1997,129 min,61,7.8,"333,127",tt0119174,N/A,The Game,Mystery,6,4,8,45,30
The Getaway,1972,PG,16 Dec 1972,123 min,55,7.4,"27,036",tt0068638,N/A,The Getaway,Thriller,3,0,2,0,1
The Ghost and the Darkness,1996,R,11 Oct 1996,110 min,N/A,6.8,"55,073",tt0116409,N/A,The Ghost and the Darkness,Thriller,0,1,4,1,1
The Girl with the Dragon Tattoo,2011,R,21 Dec 2011,158 min,71,7.8,"409,137",tt1568346,"$102,515,793",The Girl with the Dragon Tattoo,Mystery,0,0,0,4,0
The Godfather Part III,1990,R,25 Dec 1990,162 min,60,7.6,"347,141",tt0099674,N/A,The Godfather Part III,Mystery,2,2,0,2,5
The Good Girl,2002,R,30 Aug 2002,93 min,71,6.4,"42,458",tt0279113,N/A,The Good Girl,Comedy,3,0,3,4,4
The Graduate,1967,PG,21 Dec 1967,106 min,83,8.0,"247,819",tt0061722,N/A,The Graduate,Romance,0,0,5,0,0
The Grapes of Wrath,1940,Passed,15 Mar 1940,129 min,96,8.0,"84,170",tt0032551,N/A,The Grapes of Wrath,Drama,0,0,0,0,0
The Great Gatsby,2013,PG-13,10 May 2013,143 min,55,7.2,"462,069",tt1343092,"$144,812,796",The Great Gatsby,Romance,0,1,5,0,0
The Green Mile,1999,R,10 Dec 1999,189 min,61,8.6,"1,098,132",tt0120689,N/A,The Green Mile,Fantasy,13,6,23,15,10
The Grifters,1990,R,25 Jan 1991,110 min,86,6.9,"24,653",tt0099703,N/A,The Grifters,Crime,0,1,8,4,5
The Grudge,2004,PG-13,22 Oct 2004,91 min,49,5.9,"136,551",tt0391198,"$110,175,871",The Grudge,Mystery,0,0,1,0,0
The Hangover,2009,R,05 Jun 2009,100 min,73,7.7,"701,634",tt1119646,"$277,313,371",The Hangover,Mystery,11,2,9,3,8
The Haunting,1999,PG-13,23 Jul 1999,113 min,42,5.0,"69,750",tt0171363,N/A,The Haunting,Mystery,0,2,3,3,3
The Hebrew Hammer,2003,R,25 Mar 2004,85 min,41,6.1,"4,554",tt0317640,N/A,The Hebrew Hammer,Comedy,10,3,6,10,11
The Help,2011,PG-13,10 Aug 2011,146 min,62,8.1,"417,090",tt1454029,"$169,705,587",The Help,Drama,1,0,9,0,7
The Hills Have Eyes,2006,R,10 Mar 2006,107 min,52,6.4,"155,070",tt0454841,"$41,685,824",The Hills Have Eyes,Horror,1,3,1,7,3
"The Hitchhiker's Guide to the Galaxy",2005,PG,29 Apr 2005,109 min,63,6.8,"183,411",tt0371724,"$51,019,112","The Hitchhiker's Guide to the Galaxy",Sci-Fi,2,0,2,0,1
The Horse Whisperer,1998,PG-13,15 May 1998,169 min,65,6.6,"38,203",tt0119314,N/A,The Horse Whisperer,Romance,1,0,4,1,8
The Hospital,1971,PG-13,11 May 1972,103 min,72,7.2,"5,068",tt0067217,N/A,The Hospital,Comedy,5,13,5,1,1
The Hudsucker Proxy,1994,PG,11 Mar 1994,111 min,53,7.2,"75,407",tt0110074,N/A,The Hudsucker Proxy,Romance,1,0,3,0,0
The Hunt for Red October,1990,PG,02 Mar 1990,135 min,58,7.6,"173,146",tt0099810,N/A,The Hunt for Red October,Thriller,3,0,6,3,1
The Hurt Locker,2008,R,31 Jul 2009,131 min,95,7.6,"411,366",tt0887912,"$15,700,000",The Hurt Locker,Thriller,1,1,7,34,17
The Ice Storm,1997,R,26 Nov 1997,112 min,72,7.4,"52,562",tt0119349,N/A,The Ice Storm,Drama,3,0,4,3,18
The Ides of March,2011,R,07 Oct 2011,101 min,67,7.1,"211,650",tt1124035,"$40,962,534",The Ides of March,Drama,4,0,3,56,21
The Imaginarium of Doctor Parnassus,2009,PG-13,08 Jan 2010,123 min,65,6.8,"142,268",tt1054606,"$7,504,196",The Imaginarium of Doctor Parnassus,Mystery,0,3,2,1,1
The Incredibles,2004,PG,05 Nov 2004,115 min,90,8.0,"638,792",tt0317705,N/A,The Incredibles,Sci-Fi,0,0,0,0,0
The Informant,1997,R,02 Jan 1998,105 min,N/A,6.5,553,tt0119368,N/A,The Informant,Thriller,0,0,8,12,8
The Insider,1999,R,05 Nov 1999,157 min,84,7.8,"156,203",tt0140352,N/A,The Insider,Thriller,4,0,4,34,11
The Invention of Lying,2009,PG-13,02 Oct 2009,100 min,58,6.4,"119,508",tt1058017,"$18,439,082",The Invention of Lying,Comedy,7,3,3,21,8
The Iron Lady,2011,PG-13,13 Jan 2012,105 min,54,6.4,"100,501",tt1007029,"$29,959,436",The Iron Lady,Drama,0,0,2,0,0
The Island,2005,PG-13,22 Jul 2005,136 min,50,6.8,"296,205",tt0399201,"$35,800,000",The Island,Sci-Fi,4,0,1,20,4
The Italian Job,2003,PG-13,30 May 2003,111 min,68,7.0,"335,751",tt0317740,"$105,996,316",The Italian Job,Adventure,4,2,4,7,16
The Jacket,2005,R,04 Mar 2005,103 min,44,7.1,"106,917",tt0366627,"$6,282,106",The Jacket,Fantasy,0,0,4,18,10
The Kids Are All Right,2010,R,30 Jul 2010,106 min,86,7.0,"123,986",tt0842926,"$20,803,237",The Kids Are All Right,Comedy,14,2,0,30,10
The King of Comedy,1982,PG,18 Dec 1982,109 min,73,7.8,"82,247",tt0085794,N/A,The King of Comedy,Crime,1,0,3,0,2
"The King's Speech",2010,R,25 Dec 2010,118 min,88,8.0,"622,890",tt1504320,"$138,300,000","The King's Speech",Drama,0,0,6,10,7
The Kingdom,2007,R,28 Sep 2007,110 min,56,7.0,"115,496",tt0431197,"$47,456,450",The Kingdom,Thriller,3,0,1,12,6
The LEGO Movie,2014,PG,07 Feb 2014,100 min,83,7.7,"317,777",tt1490017,"$244,870,202",The LEGO Movie,Animation,2,0,0,0,0
The Ladykillers,2004,R,26 Mar 2004,104 min,56,6.2,"97,415",tt0335245,N/A,The Ladykillers,Crime,21,7,17,73,19
The Last Boy Scout,1991,R,13 Dec 1991,105 min,52,7.0,"90,346",tt0102266,N/A,The Last Boy Scout,Thriller,24,22,16,143,62
The Last Flight,1931,Passed,29 Aug 1931,76 min,N/A,6.8,"1,199",tt0022054,N/A,The Last Flight,Drama,0,0,0,0,0
The Last Samurai,2003,R,05 Dec 2003,154 min,55,7.7,"388,736",tt0325710,"$111,000,000",The Last Samurai,War,2,1,4,2,3
The Last Station,2009,R,26 Feb 2010,112 min,76,7.0,"17,516",tt0824758,"$6,500,000",The Last Station,Drama,0,1,2,0,0
The Last of the Mohicans,1992,R,25 Sep 1992,112 min,76,7.7,"144,556",tt0104691,N/A,The Last of the Mohicans,War,0,0,2,0,0
The Life of David Gale,2003,R,21 Feb 2003,130 min,31,7.6,"106,438",tt0289992,"$19,593,740",The Life of David Gale,Thriller,0,0,6,32,12
The Limey,1999,R,04 Aug 1999,89 min,73,7.0,"29,323",tt0165854,N/A,The Limey,Crime,6,1,0,33,12
The Lincoln Lawyer,2011,R,18 Mar 2011,118 min,63,7.3,"207,931",tt1189340,"$57,900,000",The Lincoln Lawyer,Thriller,4,6,2,13,23
The Little Mermaid,1989,G,17 Nov 1989,83 min,88,7.6,"229,325",tt0097757,N/A,The Little Mermaid,Musical,0,0,0,0,0
The Long Kiss Goodnight,1996,R,11 Oct 1996,121 min,44,6.8,"70,875",tt0116908,N/A,The Long Kiss Goodnight,Thriller,16,13,13,97,20
The Losers,2010,PG-13,23 Apr 2010,97 min,44,6.3,"88,865",tt0480255,"$23,400,000",The Losers,Mystery,5,0,7,4,27
The Man Who Knew Too Much,1956,PG,01 Jun 1956,120 min,78,7.5,"56,056",tt0049470,N/A,The Man Who Knew Too Much,Adventure,0,0,1,0,0
"The Man Who Wasn't There",2001,R,16 Nov 2001,116 min,73,7.5,"101,405",tt0243133,"$7,408,031","The Man Who Wasn't There",Crime,2,6,26,0,0
The Manchurian Candidate,2004,R,30 Jul 2004,129 min,76,6.6,"100,778",tt0368008,"$65,700,000",The Manchurian Candidate,Mystery,5,0,3,8,14
The Martian,2015,PG-13,02 Oct 2015,144 min,80,8.0,"734,744",tt3659388,"$202,313,768",The Martian,Sci-Fi,3,0,6,3,10
The Mask,1994,PG-13,29 Jul 1994,101 min,56,6.9,"335,452",tt0110475,N/A,The Mask,Romance,3,5,2,1,5
The Master,2012,R,21 Sep 2012,138 min,86,7.2,"147,827",tt1560747,"$15,800,000",The Master,Drama,3,0,1,5,4
The Matrix,1999,R,31 Mar 1999,136 min,73,8.7,"1,616,945",tt0133093,N/A,The Matrix,Sci-Fi,2,0,9,12,22
The Matrix Reloaded,2003,R,15 May 2003,138 min,62,7.2,"502,814",tt0234215,"$281,500,000",The Matrix Reloaded,Sci-Fi,9,0,2,30,21
The Mechanic,2011,R,28 Jan 2011,93 min,49,6.6,"147,755",tt0472399,"$29,113,588",The Mechanic,Crime,3,5,6,10,7
The Men Who Stare at Goats,2009,R,06 Nov 2009,94 min,54,6.2,"125,151",tt1234548,"$32,400,000",The Men Who Stare at Goats,War,1,0,4,20,13
The Miracle Worker,1962,Not Rated,28 Jul 1962,106 min,83,8.1,"15,493",tt0056241,N/A,The Miracle Worker,Drama,0,0,0,0,0
The Mummy,1999,PG-13,07 May 1999,124 min,48,7.0,"381,578",tt0120616,N/A,The Mummy,Horror,17,1,7,0,7
The Neverending Story,1984,PG,20 Jul 1984,102 min,46,7.4,"127,724",tt0088323,N/A,The Neverending Story,Family,0,0,0,0,0
The Next Three Days,2010,PG-13,19 Nov 2010,133 min,52,7.4,"177,578",tt1458175,"$21,100,000",The Next Three Days,Romance,2,1,0,0,2
The Nightmare Before Christmas,1993,PG,29 Oct 1993,76 min,82,8.0,"283,423",tt0107688,"$8,616,662",The Nightmare Before Christmas,Musical,0,0,0,0,0
The Nines,2007,R,30 Nov 2007,100 min,52,6.3,"32,264",tt0810988,N/A,The Nines,Mystery,7,0,1,12,12
The Ninth Gate,1999,R,10 Mar 2000,133 min,44,6.7,"162,053",tt0142688,N/A,The Ninth Gate,Mystery,0,0,0,0,0
The Other Boleyn Girl,2008,PG-13,29 Feb 2008,115 min,50,6.7,"101,287",tt0467200,"$26,800,000",The Other Boleyn Girl,Romance,0,0,1,0,0
The Pacifier,2005,PG,04 Mar 2005,95 min,30,5.6,"85,615",tt0395699,"$113,006,880",The Pacifier,Family,5,0,0,0,0
The Passion of Joan of Arc,1928,Passed,25 Oct 1928,114 min,N/A,8.1,"45,031",tt0019254,N/A,The Passion of Joan of Arc,Drama,0,0,1,0,0
The Patriot,2000,R,28 Jun 2000,165 min,63,7.2,"249,110",tt0187393,"$2,317,507",The Patriot,War,1,0,13,0,0
The Perks of Being a Wallflower,2012,PG-13,12 Oct 2012,103 min,67,8.0,"447,512",tt1659337,"$14,900,000",The Perks of Being a Wallflower,Romance,6,3,3,1,11
The Pianist,2002,R,28 Mar 2003,150 min,85,8.5,"701,983",tt0253474,"$32,519,322",The Pianist,War,0,1,2,5,3
The Piano,1993,R,11 Feb 1994,121 min,89,7.6,"76,014",tt0107822,N/A,The Piano,Romance,1,0,4,0,3
The Planet of the Apes,2011,PG-13,05 Aug 2011,105 min,68,7.6,"488,681",tt1318514,"$175,300,000",The Planet of the Apes,Sci-Fi,0,0,3,0,0
The Postman,1997,R,25 Dec 1997,177 min,29,6.1,"67,203",tt0119925,N/A,The Postman,Sci-Fi,6,1,19,2,7
The Power of One,1992,PG-13,27 Mar 1992,127 min,N/A,7.2,"8,925",tt0105159,N/A,The Power of One,Drama,3,0,8,4,2
The Prestige,2006,PG-13,20 Oct 2006,130 min,66,8.5,"1,140,365",tt0482571,"$53,100,000",The Prestige,Mystery,0,0,2,0,1
The Princess Bride,1987,PG,09 Oct 1987,98 min,77,8.1,"382,292",tt0093779,N/A,The Princess Bride,Romance,0,0,0,0,0
The Private Life of Sherlock Holmes,1970,PG-13,29 Oct 1970,125 min,N/A,7.1,"10,243",tt0066249,N/A,The Private Life of Sherlock Holmes,Mystery,0,0,3,0,0
The Program,2015,R,18 Mar 2016,99 min,53,6.5,"15,757",tt3083008,N/A,The Program,Drama,18,2,16,31,40
The Prophecy,1995,R,01 Sep 1995,98 min,44,6.5,"28,343",tt0114194,N/A,The Prophecy,Mystery,2,8,11,13,9
The Proposal,2009,PG-13,19 Jun 2009,108 min,48,6.7,"287,428",tt1041829,"$163,900,057",The Proposal,Romance,12,3,7,3,13
The Queen,2006,PG-13,17 Nov 2006,103 min,91,7.3,"101,961",tt0436697,"$56,222,759",The Queen,Drama,0,0,0,0,0
The Reader,2008,R,30 Jan 2009,124 min,58,7.6,"226,279",tt0976051,"$34,111,418",The Reader,Romance,0,0,0,0,0
The Relic,1997,R,10 Jan 1997,110 min,55,5.8,"23,934",tt0120004,N/A,The Relic,Horror,3,1,10,0,12
The Replacements,2000,PG-13,11 Aug 2000,118 min,30,6.6,"56,881",tt0191397,"$44,004,460",The Replacements,Comedy,17,3,14,15,24
The Rescuers Down Under,1990,G,16 Nov 1990,77 min,70,6.9,"36,891",tt0100477,N/A,The Rescuers Down Under,Animation,0,0,0,0,0
The Revenant,2015,R,08 Jan 2016,156 min,76,8.0,"678,615",tt1663202,N/A,The Revenant,Adventure,4,3,6,1,9
The Road,2009,R,25 Nov 2009,111 min,64,7.2,"218,164",tt0898367,"$8,025,059",The Road,Adventure,5,1,4,3,1
The Rock,1996,R,07 Jun 1996,136 min,58,7.4,"304,994",tt0117500,N/A,The Rock,Action,1,2,12,40,19
The Rocky Horror Picture Show,1975,R,31 Aug 1975,100 min,58,7.4,"127,790",tt0073629,N/A,The Rocky Horror Picture Show,Musical,0,0,0,1,0
The Roommate,2011,PG-13,04 Feb 2011,91 min,23,4.8,"35,693",tt1265990,"$37,300,107",The Roommate,Horror,3,3,4,0,8
The Ruins,2008,R,04 Apr 2008,90 min,44,5.8,"68,559",tt0963794,"$17,402,425",The Ruins,Horror,0,1,0,24,5
The Saint,1997,PG-13,04 Apr 1997,116 min,50,6.2,"61,012",tt0120053,N/A,The Saint,Romance,0,0,0,0,0
The Salton Sea,2002,R,21 Jun 2002,103 min,41,7.1,"29,211",tt0235737,"$626,750",The Salton Sea,Crime,17,4,5,40,19
The Searchers,1956,Passed,26 May 1956,119 min,94,7.9,"77,779",tt0049730,N/A,The Searchers,Western,0,0,0,0,0
The Secret Life of Walter Mitty,2013,PG,25 Dec 2013,114 min,54,7.3,"286,548",tt0359950,"$33,223,430",The Secret Life of Walter Mitty,Adventure,2,0,2,18,8
The Sessions,2012,R,16 Nov 2012,95 min,79,7.2,"40,658",tt1866249,"$5,997,134",The Sessions,Romance,2,1,2,3,5
The Seventh Seal,1957,Not Rated,13 Oct 1958,96 min,N/A,8.2,"157,335",tt0050976,N/A,The Seventh Seal,Fantasy,0,1,7,0,0
The Shawshank Redemption,1994,R,14 Oct 1994,142 min,80,9.3,"2,251,007",tt0111161,N/A,The Shawshank Redemption,Drama,31,4,33,39,55
The Shining,1980,R,13 Jun 1980,146 min,66,8.4,"859,906",tt0081505,N/A,The Shining,Horror,1,3,3,10,0
The Shipping News,2001,R,18 Jan 2002,111 min,47,6.7,"31,386",tt0120824,"$11,405,825",The Shipping News,Romance,3,3,2,4,4
The Siege,1998,R,06 Nov 1998,116 min,53,6.4,"67,030",tt0133952,N/A,The Siege,Thriller,7,2,4,20,10
The Sixth Sense,1999,PG-13,06 Aug 1999,107 min,64,8.1,"888,202",tt0167404,N/A,The Sixth Sense,Mystery,0,0,0,0,0
The Social Network,2010,PG-13,01 Oct 2010,120 min,95,7.7,"603,038",tt1285016,"$96,400,000",The Social Network,Drama,8,5,2,17,17
The Sting,1973,PG,25 Dec 1973,129 min,83,8.3,"234,228",tt0070735,N/A,The Sting,Crime,2,1,10,3,2
The Stuntman,1994,N/A,N/A,N/A,N/A,3.9,7,tt1933544,N/A,The Stuntman,Romance,25,15,40,24,15
The Surfer King,2006,PG-13,N/A,95 min,N/A,3.9,334,tt0418206,N/A,The Surfer King,Comedy,0,0,0,0,0
The Sweet Hereafter,1997,R,21 Nov 1997,112 min,91,7.5,"31,347",tt0120255,N/A,The Sweet Hereafter,Drama,0,1,3,5,1
The Taking of Pelham One Two Three,1974,R,14 Nov 1974,104 min,68,7.7,"25,392",tt0072251,N/A,The Taking of Pelham One Two Three,Crime,8,8,4,19,19
The Talented Mr. Ripley,1999,R,25 Dec 1999,139 min,76,7.4,"175,612",tt0134119,N/A,The Talented Mr. Ripley,Mystery,2,0,1,4,1
The Theory of Everything,2014,PG-13,26 Nov 2014,123 min,72,7.7,"386,687",tt2980516,"$35,887,263",The Theory of Everything,Romance,0,0,1,0,0
The Thing,1982,R,25 Jun 1982,109 min,57,8.1,"356,329",tt0084787,N/A,The Thing,Horror,8,2,28,9,18
The Things My Father Never Taught Me,2012,N/A,20 Apr 2012,7 min,N/A,7.9,248,tt2234521,N/A,The Things My Father Never Taught Me,Short,0,1,1,0,0
The Three Musketeers,2011,PG-13,21 Oct 2011,110 min,35,5.7,"101,336",tt1509767,"$20,356,913",The Three Musketeers,Romance,0,0,3,0,0
The Time Machine,2002,PG-13,08 Mar 2002,96 min,42,6.0,"116,770",tt0268695,"$56,684,819",The Time Machine,Sci-Fi,0,0,1,0,0
The Tourist,2010,PG-13,10 Dec 2010,103 min,37,6.0,"218,305",tt1243957,"$67,631,157",The Tourist,Thriller,0,0,2,1,3
The Truman Show,1998,PG,05 Jun 1998,103 min,90,8.1,"898,405",tt0120382,N/A,The Truman Show,Sci-Fi,0,1,5,10,3
The Ugly Truth,2009,R,24 Jul 2009,96 min,28,6.4,"199,299",tt1142988,"$88,915,214",The Ugly Truth,Romance,7,3,1,13,9
The Usual Suspects,1995,R,16 Aug 1995,106 min,77,8.5,"961,807",tt0114814,N/A,The Usual Suspects,Mystery,11,3,4,36,22
The Verdict,1982,R,17 Dec 1982,129 min,77,7.7,"34,575",tt0084855,N/A,The Verdict,Drama,3,0,8,10,3
The Village,2004,PG-13,30 Jul 2004,108 min,44,6.5,"237,350",tt0368447,"$114,170,863",The Village,Mystery,0,0,0,0,0
The Visitor,2007,PG-13,23 May 2008,104 min,79,7.6,"40,939",tt0857191,"$9,234,510",The Visitor,Romance,0,0,1,1,2
The Way Back,2010,PG-13,21 Jan 2011,133 min,66,7.3,"107,126",tt1023114,"$2,500,000",The Way Back,Adventure,0,0,5,2,3
The Whistleblower,2010,R,27 Oct 2011,112 min,59,7.1,"31,005",tt0896872,"$900,000",The Whistleblower,Thriller,2,1,1,20,7
The White Ribbon,2009,R,05 Mar 2010,144 min,82,7.8,"66,785",tt1149362,"$2,077,054",The White Ribbon,Mystery,0,0,2,0,0
The Wild Bunch,1969,R,19 Jun 1969,135 min,97,7.9,"75,648",tt0065214,N/A,The Wild Bunch,Western,4,4,27,0,0
The Wizard of Oz,1939,PG,25 Aug 1939,102 min,100,8.0,"365,052",tt0032138,"$3,840,702",The Wizard of Oz,Musical,0,0,0,0,0
The Wolf of Wall Street,2013,R,25 Dec 2013,180 min,75,8.2,"1,124,599",tt0993846,"$91,330,760",The Wolf of Wall Street,Crime,13,5,5,180,36
The Woodsman,2004,R,21 Jan 2005,87 min,72,7.2,"31,478",tt0361127,"$1,456,291",The Woodsman,Drama,7,1,5,26,15
The World is not Enough,1999,PG-13,19 Nov 1999,128 min,57,6.4,"184,018",tt0143145,N/A,The World is not Enough,Adventure,1,0,1,0,0
The Wrestler,2008,R,30 Jan 2009,109 min,80,7.9,"285,278",tt1125849,"$26,136,413",The Wrestler,Drama,19,2,4,41,23
The X-Files: Fight the Future,1998,N/A,13 Oct 1998,27 min,N/A,7.4,358,tt0365474,N/A,The X-Files: Fight the Future,Sci-Fi,3,0,2,1,4
Transformers: The Movie,1986,PG,08 Aug 1986,84 min,N/A,7.3,"36,621",tt0092106,N/A,Transformers: The Movie,Animation,0,0,2,0,0
Wall-E,2008,G,27 Jun 2008,98 min,95,8.4,"967,549",tt0910970,"$223,749,872",Wall-E,Animation,0,0,0,0,0
White Christmas,1954,Not Rated,15 Nov 1954,120 min,N/A,7.6,"31,174",tt0047673,N/A,White Christmas,Musical,0,0,0,0,0
Withnail and I,2006,N/A,N/A,15 min,N/A,5.3,17,tt0870218,N/A,Withnail and I,Comedy,0,1,1,38,1
