Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
Bad Santa,2003,R,26-Nov-03,92,70,7,"131,454",tt0307987,N/A,24,8,3,137,Crime,44
Bad Teacher,2011,R,24-Jun-11,92,47,5.6,"188,694",tt1284575,"$100,292,856 ",7,3,2,23,Comedy,10
Badlands,1973,PG,5-Jan-74,94,93,7.8,"63,169",tt0069762,N/A,1,4,3,0,Thriller,0
Bamboozled,2000,R,20-Oct-00,135,50,6.5,"9,814",tt0215545,"$1,883,628 ",13,3,12,1,Drama,1
Barton Fink,1991,R,21-Aug-91,116,69,7.7,"109,491",tt0101410,N/A,5,13,30,4,Thriller,5
Basquiat,1996,R,9-Aug-96,107,65,6.9,"18,958",tt0115632,N/A,2,0,3,21,Drama,13
Batman,1989,PG-13,23-Jun-89,126,69,7.5,"329,552",tt0096895,N/A,1,1,2,1,Fantasy,3
Battle Los Angeles,2011,PG-13,11-Mar-11,116,37,5.7,"172,012",tt1217613,"$83,537,651 ",13,0,18,2,Sci-Fi,21
Bean,1997,PG-13,7-Nov-97,89,52,6.5,"94,780",tt0118689,N/A,4,1,11,0,Comedy,1
Beasts of the Southern Wild,2012,PG-13,5-Jul-12,93,86,7.3,"79,506",tt2125435,"$12,784,397 ",6,0,5,1,Fantasy,3
Beavis and Butt-Head Do America,1996,PG-13,20-Dec-96,81,64,6.8,"50,067",tt0115641,N/A,14,1,13,0,Animation,0
Beginners,2010,R,9-Jun-11,105,81,7.2,"85,878",tt1532503,"$5,764,842 ",1,0,0,6,Romance,0
Being Human,2011–2014,TV-14,17-Jan-11,44,N/A,7.5,"23,849",tt1595680,,0,0,1,3,Fantasy,1
Being John Malkovich,1999,R,3-Dec-99,113,90,7.7,"301,611",tt0120601,N/A,1,2,13,14,Fantasy,14
Being There,1979,PG,8-Feb-80,130,83,8,"63,525",tt0078841,N/A,6,3,6,1,Drama,3
Belle,2013,PG,13-Jun-14,100,64,7.3,"27,285",tt2404181,"$8,792,708 ",0,0,1,0,Romance,0
Beloved,1998,R,16-Oct-98,172,57,6,"6,937",tt0120603,N/A,0,1,8,0,Drama,1
Benny & Joon,1993,PG,23-Apr-93,98,57,7.2,"53,594",tt0106387,N/A,0,0,0,0,Romance,0
Big,1988,PG,3-Jun-88,104,73,7.3,"191,523",tt0094737,N/A,2,0,7,1,Fantasy,2
Big Eyes,2014,PG-13,25-Dec-14,106,62,7,"82,916",tt1126590,"$8,021,168 ",2,2,1,1,Crime,3
Big Fish,2003,PG-13,9-Jan-04,125,58,8,"406,074",tt0319061,"$66,257,002 ",3,3,3,0,Fantasy,4
Birdman,1967–1987,TV-G,9-Sep-67,30,N/A,6.8,832,tt0061237,,17,3,5,78,Romance,33
Birthday Girl,2001,R,1-Feb-02,93,51,6.1,"23,959",tt0188453,"$4,919,896 ",1,0,0,14,Romance,1
Black Panther,2018,PG-13,16-Feb-18,134,88,7.3,"587,388",tt1825683,"$501,105,037 ",1,0,0,0,Sci-Fi,7
Black Rain,1989,R,22-Sep-89,125,56,6.7,"47,914",tt0096933,N/A,8,2,4,1,Crime,9
Black Snake Moan,2006,R,2-Mar-07,116,52,6.9,"59,991",tt0462200,"$9,262,318 ",10,6,12,29,Drama,42
BlacKkKlansman,2018,R,10-Aug-18,135,83,7.5,"198,998",tt7349662,N/A,8,7,11,33,Crime,18
Blade Runner,1982,R,25-Jun-82,117,84,8.1,"671,833",tt0083658,N/A,4,1,1,11,Sci-Fi,4
Blood and Wine,1996,R,21-Feb-97,101,N/A,6,"8,985",tt0115710,N/A,6,2,6,18,Thriller,9
Blood Simple,1984,R,18-Jan-85,99,81,7.6,"83,644",tt0086979,N/A,8,0,5,7,Thriller,4
Blow,2001,R,6-Apr-01,124,52,7.6,"235,080",tt0221027,N/A,5,3,2,91,Crime,24
Blue Valentine,2010,R,28-Jan-11,112,81,7.4,"179,610",tt1120985,"$9,600,000 ",6,1,3,21,Romance,13
Body Heat,1981,R,28-Aug-81,113,77,7.4,"29,409",tt0082089,N/A,2,0,4,5,Thriller,6
Body of Evidence,1992,R,15-Jan-93,99,29,4.5,"13,732",tt0106453,N/A,2,3,0,8,Romance,1
Bodyguard,2018–,TV-MA,26-Aug-18,60,N/A,8.1,"83,514",tt7493974,,5,3,3,25,Romance,6
Bonnie and Clyde,1967,R,14-Aug-67,111,86,7.8,"99,575",tt0061418,N/A,2,3,20,1,Romance,0
Boogie Nights,1997,R,31-Oct-97,155,85,7.9,"231,876",tt0118749,N/A,18,3,3,98,Drama,25
Bottle Rocket,1996,R,21-Feb-96,91,66,7,"68,099",tt0115734,N/A,3,2,5,36,Crime,25
Bound,1996,R,4-Oct-96,109,61,7.3,"49,122",tt0115736,N/A,7,6,4,90,Thriller,28
Boyhood,2014,R,15-Aug-14,165,100,7.9,"328,711",tt1065073,"$18,859,617 ",13,8,8,41,Drama,22
Brazil,1985,R,18-Dec-85,132,84,7.9,"183,229",tt0088846,N/A,1,1,5,3,Sci-Fi,7
Break,2019,N/A,14-Feb-19,85,N/A,4.4,"1,078",tt9805504,N/A,0,0,0,0,Drama,0
Breakdown,1997,R,2-May-97,93,73,6.9,"47,264",tt0118771,N/A,8,10,5,24,Thriller,9
Breaking Away,1979,PG,20-Jul-79,101,91,7.7,"21,018",tt0078902,N/A,1,0,15,0,Drama,3
Bridesmaids,2011,R,13-May-11,125,75,6.8,"261,565",tt1478338,"$166,500,000 ",7,5,2,6,Comedy,19
Bringing Out the Dead,1999,R,22-Oct-99,121,70,6.8,"62,055",tt0163988,N/A,4,1,4,11,Drama,10
Broadcast News,1987,R,25-Dec-87,133,84,7.2,"26,026",tt0092699,N/A,4,2,7,8,Romance,9
Broken Arrow,1996,R,9-Feb-96,108,61,6,"88,924",tt0115759,N/A,5,1,5,2,Thriller,8
Broken Embraces,2009,R,15-Jan-10,127,76,7.2,"37,315",tt0913425,"$4,900,000 ",2,3,2,8,Romance,2
Bruce Almighty,2003,PG-13,23-May-03,101,46,6.8,"363,773",tt0315327,"$242,589,580 ",9,0,3,1,Romance,1
Bull Durham,1988,R,15-Jun-88,108,73,7.1,"45,793",tt0094812,N/A,16,4,30,29,Romance,27
Burn After Reading,2008,R,12-Sep-08,96,63,7,"301,770",tt0887883,"$60,338,891 ",9,4,3,66,Crime,20
Burning Annie,2004,N/A,8-Mar-03,95,38,5.6,257,tt0307879,N/A,5,1,4,9,Romance,34
Candle to Water,2012,N/A,1-Nov-12,110,N/A,4.6,17,tt2387411,N/A,0,11,2,75,Drama,15
Capote,2005,R,3-Feb-06,114,88,7.3,"122,713",tt0379725,"$28,337,516 ",0,0,2,2,Crime,0
Cars 2,2011,G,24-Jun-11,106,57,6.1,"152,890",tt1216475,"$191,450,875 ",0,0,0,0,Animation,0
Casino,1995,R,22-Nov-95,178,73,8.2,"448,054",tt0112641,N/A,18,9,16,439,Crime,56
Cast Away,2000,PG-13,22-Dec-00,143,73,7.8,"506,438",tt0162222,N/A,1,5,26,20,Adventure,15
Catch Me If You Can,2002,PG-13,25-Dec-02,141,75,8.1,"790,873",tt0264464,"$164,400,000 ",0,2,11,7,Crime,9
Catwoman,2004,PG-13,23-Jul-04,104,27,3.4,"108,332",tt0327554,"$40,200,000 ",0,0,0,0,Crime,0
Cecil B. DeMented,2000,R,1-Sep-00,87,57,6.2,"12,999",tt0173716,N/A,11,3,2,32,Thriller,3
Cedar Rapids,2011,R,18-Mar-11,87,70,6.2,"35,674",tt1477837,"$6,800,000 ",8,1,8,38,Comedy,34
Celeste & Jesse Forever,2012,R,24-Aug-12,92,59,6.6,"28,381",tt1405365,"$3,094,687 ",2,1,0,46,Romance,18
Chaos,2005,R,15-Dec-05,106,N/A,6.5,"50,400",tt0402910,N/A,2,6,2,9,Thriller,20
Charlie's Angels,2000,PG-13,3-Nov-00,98,52,5.5,"172,273",tt0160127,"$124,420,707 ",11,6,7,2,Comedy,8
Chasing Amy,1997,R,18-Apr-97,113,71,7.2,"130,082",tt0118842,N/A,14,25,5,116,Romance,60
Christ Complex,2012,NOT RATED,6-Oct-12,76,N/A,6.5,22,tt2416048,N/A,5,0,2,30,Fantasy,1
Chronicle,2012,PG-13,3-Feb-12,84,69,7,"236,421",tt1706593,"$60,800,000 ",10,5,4,78,Sci-Fi,38
Cinema Paradiso,1988,R,23-Feb-90,155,80,8.5,"220,232",tt0095765,"$239,630 ",6,0,7,8,Romance,1
Cirque du Freak: The Vampire's Assistant,2009,PG-13,23-Oct-09,109,43,5.8,"42,495",tt0450405,"$13,838,130 ",0,0,0,0,Fantasy,0
City of Joy,1992,PG-13,17-Apr-92,132,N/A,6.5,"4,526",tt0103976,N/A,2,0,13,0,Drama,0
Clash of the Titans,2010,PG-13,2-Apr-10,106,39,5.8,"266,023",tt0800320,"$163,100,000 ",0,0,1,0,Fantasy,1
Clerks,1994,R,9-Nov-94,92,70,7.7,"208,478",tt0109445,N/A,12,10,8,80,Comedy,38
Cliffhanger,1993,R,28-May-93,113,60,6.4,"116,698",tt0106582,N/A,2,3,5,21,Thriller,6
Clueless,1995,PG-13,19-Jul-95,97,68,6.8,"172,678",tt0112697,N/A,0,0,0,0,Romance,0
Cobb,1994,R,2-Dec-94,128,66,6.4,"6,890",tt0109450,N/A,16,9,38,40,Drama,24
Coco,2017,PG,22-Nov-17,105,81,8.4,"343,940",tt2380307,"$208,487,719 ",0,0,0,0,Animation,0
Code of Silence,1985,R,3-May-85,101,64,6.1,"6,624",tt0088936,N/A,13,3,6,26,Drama,16
Cold Mountain,2003,R,25-Dec-03,154,73,7.2,"137,116",tt0159365,N/A,5,1,8,3,War,7
Collateral,2004,R,6-Aug-04,120,71,7.5,"349,490",tt0369339,"$100,003,492 ",0,0,0,0,Thriller,0
Collateral Damage,2002,R,8-Feb-02,108,33,5.5,"70,795",tt0233469,"$39,965,988 ",8,6,4,12,Thriller,13
Colombiana,2011,PG-13,26-Aug-11,108,45,6.4,"91,834",tt1657507,"$36,665,854 ",6,8,0,13,Crime,8
Commando,1985,R,4-Oct-85,90,51,6.7,"142,224",tt0088944,N/A,5,0,0,7,Thriller,7
Conan the Barbarian,1982,R,14-May-82,129,43,6.9,"134,342",tt0082198,N/A,1,0,1,0,Fantasy,1
Confessions of a Dangerous Mind,2002,R,24-Jan-03,113,67,7,"81,717",tt0270288,N/A,14,2,6,65,Crime,15
Confidence,2003,R,25-Apr-03,97,59,6.7,"32,866",tt0310910,"$12,148,629 ",15,4,2,52,Crime,29
Coraline,2009,PG,6-Feb-09,100,80,7.7,"189,288",tt0327597,"$75,169,351 ",0,0,0,0,Fantasy,0
Coriolanus,2011,R,20-Jan-12,123,79,6.1,"30,473",tt1372686,"$487,578 ",0,0,0,0,War,0
Cowboys & Aliens,2011,PG-13,29-Jul-11,119,50,6,"203,646",tt0409847,"$100,215,116 ",8,5,41,2,Sci-Fi,15
Cradle 2 the Grave,2003,R,28-Feb-03,101,36,5.8,"40,632",tt0306685,"$34,600,000 ",9,5,0,34,Thriller,21
Crank,2006,R,1-Sep-06,88,57,6.9,"230,012",tt0479884,"$27,800,000 ",24,14,5,36,Thriller,41
Crash,2004,R,6-May-05,112,66,7.8,"413,193",tt0375679,"$55,382,847 ",0,1,0,2,Romance,0
Crazylove,2005,N/A,N/A,95,N/A,6.3,361,tt0416658,N/A,1,2,3,10,Romance,1
Creation,2009,PG-13,25-Sep-09,108,51,6.7,"13,626",tt0974014,"$300,000 ",0,0,3,0,Drama,3
Crime Spree,2003,R,16-Apr-03,105,N/A,6.5,"5,197",tt0310924,N/A,9,1,1,30,Crime,15
Croupier,1998,Not Rated,28-Jul-00,94,75,7.1,"17,887",tt0159382,N/A,0,2,0,18,Crime,10
Cruel Intentions,1999,R,5-Mar-99,97,56,6.8,"175,410",tt0139134,N/A,10,5,0,31,Romance,23
Custody,2017,N/A,7-Feb-18,93,83,7.5,"7,590",tt6002232,N/A,3,2,0,3,Comedy,3
Dallas Buyers Club,2013,R,22-Nov-13,117,80,8,"426,639",tt0790636,"$23,750,994 ",12,4,9,58,Drama,37
Dark Star,1974,G,9-Feb-79,83,66,6.3,"21,554",tt0069945,N/A,0,0,3,3,Sci-Fi,1
Darkman,1990,R,24-Aug-90,96,65,6.4,"56,589",tt0099365,N/A,5,4,3,7,Sci-Fi,3
Date Night,2010,PG-13,9-Apr-10,88,56,6.3,"149,520",tt1279935,"$98,710,290 ",3,3,3,3,Romance,9
Days of Heaven,1978,PG,6-Oct-78,94,93,7.8,"50,241",tt0077405,N/A,0,0,0,0,Drama,0
Dead Poets Society,1989,PG,9-Jun-89,128,79,8.1,"407,143",tt0097165,N/A,1,0,6,0,Drama,3
Deadpool,2016,R,12-Feb-16,108,65,8,"874,155",tt1431045,"$328,674,489 ",7,2,1,35,Adventure,22
Dear White People,2014,R,4-Dec-14,108,79,6.1,"23,926",tt2235108,N/A,9,11,9,37,Drama,19
Death at a Funeral,2007,R,7-Sep-07,90,67,7.4,"106,835",tt0795368,N/A,5,0,19,3,Comedy,22
Death to Smoochy,2002,R,29-Mar-02,109,38,6.4,"38,056",tt0266452,"$8,308,230 ",16,7,5,39,Crime,12
Deep Cover,1992,R,15-Apr-92,107,N/A,6.9,"8,392",tt0104073,N/A,10,7,4,53,Thriller,26
Defiance,2008,R,16-Jan-09,137,58,7.2,"134,977",tt1034303,"$28,622,873 ",3,3,0,7,War,16
Despicable Me 2,2013,PG,3-Jul-13,98,62,7.3,"360,967",tt1690953,"$368,049,635 ",0,0,0,0,Animation,0
Die Hard,1988,R,20-Jul-88,132,72,8.2,"763,300",tt0095016,N/A,16,3,18,27,Thriller,19
Die Hard 2,1990,R,3-Jul-90,124,67,7.2,"327,312",tt0099423,N/A,22,4,24,44,Thriller,17
Diner,1982,R,21-May-82,110,82,7.1,"18,111",tt0083833,N/A,4,3,1,4,Comedy,5
Disturbia,2007,PG-13,13-Apr-07,105,62,6.8,"215,909",tt0486822,"$80,050,171 ",12,2,6,2,Thriller,28
Do the Right Thing,1989,R,21-Jul-89,120,93,7.9,"83,609",tt0097216,N/A,11,2,6,62,Comedy,25
Dog Day Afternoon,1975,R,25-Dec-75,125,86,8,"229,397",tt0072890,N/A,4,4,14,42,Thriller,26
Dogma,1999,R,12-Nov-99,130,62,7.3,"204,707",tt0120655,N/A,20,15,6,66,Fantasy,57
Donnie Brasco,1997,R,28-Feb-97,127,76,7.7,"268,559",tt0119008,N/A,9,2,2,210,Thriller,13
Double Indemnity,1944,Passed,6-Jul-44,107,95,8.3,"137,436",tt0036775,N/A,0,0,0,0,Film-Noir,0
Dragonslayer,1981,PG,26-Jun-81,109,68,6.7,"14,523",tt0082288,N/A,0,0,4,0,Fantasy,0
Drive,2011,R,16-Sep-11,100,78,7.8,"552,974",tt0780504,"$34,300,000 ",4,0,1,43,Crime,3
Drive Angry,2011,R,25-Feb-11,104,44,5.4,"92,929",tt1502404,"$10,706,786 ",8,14,10,73,Fantasy,17
Drop Dead Gorgeous,1999,PG-13,23-Jul-99,97,28,6.6,"31,682",tt0157503,N/A,19,10,18,9,Comedy,10
Dumb and Dumber,1994,PG-13,16-Dec-94,107,41,7.3,"345,069",tt0109686,N/A,6,5,14,6,Adventure,13
Dune,1984,PG-13,14-Dec-84,137,40,6.5,"119,802",tt0087182,N/A,1,0,4,0,Sci-Fi,0
Easy A,2010,PG-13,17-Sep-10,92,72,7,"348,160",tt1282140,"$58,401,464 ",10,5,1,41,Romance,11
Ed Wood,1994,R,7-Oct-94,127,70,7.8,"162,206",tt0109707,N/A,5,3,9,11,Comedy,9
Edward Scissorhands,1990,PG-13,14-Dec-90,105,74,7.9,"434,782",tt0099487,N/A,0,0,4,0,Romance,1
Election,1999,R,7-May-99,103,83,7.2,"87,166",tt0126886,N/A,2,3,1,10,Comedy,2
Elizabeth: The Golden Age,2007,PG-13,12-Oct-07,114,45,6.8,"64,844",tt0414055,"$16,264,475 ",0,1,0,0,Drama,0
Enemy of the State,1998,R,20-Nov-98,132,67,7.3,"222,054",tt0120660,N/A,5,0,4,32,Thriller,11
Enough,2002,PG-13,24-May-02,115,25,5.8,"38,277",tt0278435,"$39,177,215 ",5,2,1,3,Thriller,4
Entrapment,1999,PG-13,30-Apr-99,113,54,6.3,"104,322",tt0137494,N/A,7,2,0,13,Thriller,12
Erik the Viking,1989,PG-13,22-Sep-89,107,N/A,6.3,"12,609",tt0097289,N/A,0,0,0,0,Fantasy,0
Erin Brockovich,2000,R,17-Mar-00,131,73,7.3,"169,051",tt0195685,N/A,12,5,31,33,Comedy,35
Escape from L.A.,1996,R,9-Aug-96,101,54,5.8,"67,869",tt0116225,N/A,5,0,6,4,Sci-Fi,15
Escape from New York,1981,R,10-Jul-81,99,76,7.2,"121,061",tt0082340,N/A,10,2,2,3,Sci-Fi,14
Eternal Sunshine of the Spotless Mind,2004,R,19-Mar-04,108,89,8.3,"880,215",tt0338013,"$34,126,138 ",1,1,4,30,Sci-Fi,18
Even Cowgirls Get the Blues,1993,R,20-May-94,95,28,4.4,"6,950",tt0106834,N/A,2,3,1,3,Romance,8
Excalibur,1981,PG,10-Apr-81,140,56,7.4,"55,818",tt0082348,N/A,0,0,0,0,Fantasy,0
eXistenZ,1999,R,23-Apr-99,97,68,6.8,"91,724",tt0120907,N/A,1,0,2,7,Sci-Fi,2
Extract,2009,R,4-Sep-09,92,61,6.1,"43,911",tt1225822,"$10,642,511 ",18,0,12,2,Romance,31
Face Off,2011–,TV-PG,26-Jan-11,44,N/A,8.2,"5,969",tt1663641,,4,2,7,15,Thriller,8
Fair Game,2010,PG-13,3-Dec-10,108,69,6.8,"45,694",tt0977855,"$9,528,092 ",2,1,0,22,Thriller,6
Fantastic Four,2005,PG-13,8-Jul-05,106,40,5.7,"306,728",tt0120667,"$154,485,963 ",1,0,8,0,Sci-Fi,1
Fargo,1996,R,5-Apr-96,98,85,8.1,"595,812",tt0116282,N/A,1,1,13,41,Thriller,4
Fast Times at Ridgemont High,1982,R,13-Aug-82,90,61,7.2,"89,930",tt0083929,N/A,2,4,0,19,Comedy,10
Fatal Instinct,1993,PG-13,29-Oct-93,91,N/A,5.8,"6,623",tt0106873,N/A,1,2,7,0,Thriller,3
Fear and Loathing in Las Vegas,1998,R,22-May-98,118,41,7.6,"252,866",tt0120669,N/A,4,7,48,44,Comedy,33
Ferris Bueller's Day Off,1986,PG-13,11-Jun-86,103,61,7.8,"309,550",tt0091042,N/A,19,1,4,0,Comedy,29
Field of Dreams,1989,PG,5-May-89,107,57,7.5,"105,057",tt0097351,N/A,5,2,8,6,Family,6
Fight Club,1999,R,15-Oct-99,139,66,8.8,"1,790,247",tt0137523,N/A,7,5,3,37,Thriller,12
Finding Nemo,2003,G,30-May-03,100,90,8.1,"920,858",tt0266543,"$380,529,370 ",0,0,0,0,Family,0
Five Easy Pieces,1970,R,12-Sep-70,98,85,7.5,"32,018",tt0065724,N/A,6,3,10,1,Drama,13
Flash Gordon,1980,PG,5-Dec-80,111,58,6.5,"49,048",tt0080745,N/A,0,1,5,0,Fantasy,0
Fletch,1985,PG,31-May-85,98,68,6.9,"46,314",tt0089155,N/A,0,0,0,0,Comedy,0
Flight,2012,R,2-Nov-12,138,76,7.3,"317,748",tt1907668,"$89,400,000 ",10,4,6,61,Drama,27
Forrest Gump,1994,PG-13,6-Jul-94,142,82,8.8,"1,737,186",tt0109830,"$330,000,000 ",8,7,17,5,Comedy,11
Four Rooms,1995,R,25-Dec-95,98,N/A,6.8,"95,749",tt0113101,N/A,10,4,4,85,Comedy,14
Foxcatcher,2014,R,16-Jan-15,134,81,7,"131,194",tt1100089,"$9,744,477 ",1,1,0,7,Drama,4
Fracture,2007,R,20-Apr-07,113,68,7.2,"181,277",tt0488120,"$39,000,000 ",3,2,3,2,Thriller,6
Frances,1982,R,11-Mar-83,140,48,7.4,"6,605",tt0083967,N/A,2,5,15,8,Drama,4
Frankenweenie,2012,PG,5-Oct-12,87,74,6.9,"94,595",tt1142977,"$35,287,788 ",0,0,0,0,Family,0
Freaked,1993,PG-13,31-Mar-94,80,N/A,6.4,"6,150",tt0109838,N/A,5,0,12,3,Sci-Fi,17
Frequency,2000,PG-13,28-Apr-00,118,67,7.3,"98,713",tt0186151,N/A,6,0,5,19,Thriller,6
From Dusk Till Dawn,1996,R,19-Jan-96,108,48,7.2,"278,873",tt0116367,N/A,15,8,8,118,Horror,45
From Here to Eternity,1953,Passed,28-Aug-53,118,85,7.6,"41,623",tt0045793,N/A,0,0,0,0,War,0
Frozen,2013,PG,27-Nov-13,102,75,7.4,"556,379",tt2294629,"$400,736,600 ",13,1,3,25,Thriller,32
Frozen River,2008,R,5-Sep-08,97,82,7.1,"24,235",tt0978759,"$2,061,019 ",3,4,2,5,Crime,8
Fruitvale Station,2013,R,26-Jul-13,85,85,7.5,"72,709",tt2334649,"$11,010,136 ",15,11,1,58,Drama,40
Funny People,2009,R,31-Jul-09,146,60,6.3,"112,695",tt1201167,"$51,814,190 ",9,4,1,101,Comedy,54
Game 6,2005,R,1-Jan-05,87,56,5.8,"2,422",tt0425055,N/A,0,1,0,0,Comedy,2
Gamer,2009,R,4-Sep-09,95,27,5.8,"128,252",tt1034032,"$20,488,579 ",12,6,12,33,Sci-Fi,36
Gandhi,1982,PG,25-Feb-83,191,79,8,"214,287",tt0083987,N/A,0,0,7,0,Drama,0
Gang Related,1997,R,8-Oct-97,111,N/A,6.5,"7,732",tt0118900,N/A,16,4,25,103,Crime,47
Gangs of New York,2002,R,20-Dec-02,167,72,7.5,"393,904",tt0217505,"$77,605,296 ",0,2,21,0,Crime,1
Garden State,2004,R,20-Aug-04,102,67,7.4,"204,465",tt0333766,"$26,706,668 ",7,7,1,70,Romance,30
Gattaca,1997,PG-13,24-Oct-97,106,64,7.8,"274,114",tt0119177,N/A,0,1,6,2,Sci-Fi,1
Get Carter,2000,R,6-Oct-00,102,24,5.2,"31,985",tt0208988,"$14,551,088 ",0,4,0,2,Thriller,5
Get on Up,2014,PG-13,1-Aug-14,139,71,6.9,"20,086",tt2473602,"$22,838,662 ",6,1,4,9,Drama,20
Get Shorty,1995,R,20-Oct-95,105,82,6.9,"74,125",tt0113161,N/A,0,0,0,0,Crime,0
Ghost,1990,PG-13,13-Jul-90,127,52,7,"190,146",tt0099653,N/A,3,2,14,5,Romance,5
Ghost Rider,2007,PG-13,16-Feb-07,110,35,5.2,"218,752",tt0259324,"$115,802,596 ",10,2,5,47,Fantasy,9
Ghost Ship,2002,R,25-Oct-02,91,28,5.5,"91,186",tt0288477,"$30,100,000 ",6,3,11,17,Horror,8
Ghost World,2001,R,21-Sep-01,111,88,7.3,"110,999",tt0162346,"$4,694,484 ",9,7,1,28,Comedy,6
Ghostbusters,1984,PG,8-Jun-84,105,71,7.8,"344,050",tt0087332,N/A,0,0,0,0,Sci-Fi,0
G.I. Jane,1997,R,22-Aug-97,125,62,5.9,"71,574",tt0119173,N/A,11,3,11,14,Drama,17
G.I. Joe: The Rise of Cobra,2009,PG-13,7-Aug-09,118,32,5.8,"196,262",tt1046173,"$150,167,630 ",11,2,5,0,Sci-Fi,4
Ginger Snaps,2000,Not Rated,11-May-01,108,70,6.8,"40,534",tt0210070,N/A,10,5,4,38,Horror,17
Gladiator,2000,R,5-May-00,155,67,8.5,"1,295,815",tt0172495,N/A,1,0,7,0,Drama,1
Go,1999,R,9-Apr-99,102,72,7.2,"65,835",tt0139239,N/A,14,6,2,61,Crime,34
Godfather,1991,Not Rated,15-Nov-91,150,N/A,8.6,"2,644",tt0353496,N/A,1,6,4,0,Crime,0
Gods and Monsters,1998,R,4-Nov-98,105,74,7.4,"28,694",tt0120684,N/A,4,2,7,11,Drama,5
Godzilla,2014,PG-13,16-May-14,123,62,6.4,"368,029",tt0831387,"$172,962,996 ",0,1,11,0,Sci-Fi,2
Gone in 60 Seconds,2000,PG-13,9-Jun-00,118,35,6.5,"255,572",tt0187078,"$100,978,700 ",15,3,15,9,Crime,33
Good Will Hunting,1997,R,9-Jan-98,126,70,8.3,"829,889",tt0119217,N/A,13,4,7,93,Comedy,28
Grabbers,2012,Not Rated,10-Aug-12,94,62,6.3,"16,540",tt1525366,N/A,1,1,0,9,Horror,9
Gran Torino,2008,R,9-Jan-09,116,72,8.1,"702,888",tt1205489,"$148,055,047 ",8,20,36,31,Crime,18
Grand Hotel,1932,Not Rated,11-Sep-32,112,N/A,7.4,"16,495",tt0022958,N/A,0,0,0,0,Romance,0
Grand Theft Parsons,2003,PG-13,18-Jun-04,88,46,6,"3,273",tt0338075,N/A,3,5,9,2,Comedy,9
Gravity,2013,PG-13,4-Oct-13,91,96,7.7,"749,518",tt1454468,"$274,084,951 ",0,1,2,0,Sci-Fi,7
Gremlins,1984,PG,8-Jun-84,106,70,7.3,"190,722",tt0087363,N/A,3,1,6,1,Horror,1
Groundhog Day,1993,PG,12-Feb-93,101,72,8,"565,244",tt0107048,N/A,1,0,2,1,Romance,1
Guardians of the Galaxy Vol. 2,2017,PG-13,5-May-17,136,67,7.6,"542,063",tt3896198,"$389,804,217 ",5,1,9,0,Adventure,4
Hackers,1995,PG-13,15-Sep-95,105,46,6.3,"64,073",tt0113243,N/A,4,1,1,1,Thriller,24
Hall Pass,2011,R,25-Feb-11,105,45,5.8,"117,950",tt0480687,"$45,045,037 ",9,1,1,1,Romance,9
Halloween,1978,R,27-Oct-78,91,87,7.8,"220,388",tt0077651,N/A,6,4,3,16,Horror,15
Halloween: The Curse of Michael Myers,1995,R,29-Sep-95,87,10,4.9,"30,004",tt0113253,N/A,6,0,9,6,Horror,6
Hancock,2008,PG-13,2-Jul-08,92,49,6.4,"434,647",tt0448157,"$227,946,274 ",13,3,6,30,Fantasy,24
Hannah and Her Sisters,1986,PG-13,14-Mar-86,107,90,7.9,"64,792",tt0091167,N/A,1,0,2,1,Romance,0
Hannibal,2001,R,9-Feb-01,131,57,6.8,"247,645",tt0212985,"$163,877,858 ",0,1,0,2,Horror,0
Happy Feet,2006,PG,17-Nov-06,108,77,6.4,"165,838",tt0366548,"$197,800,000 ",1,0,0,0,Family,1
Hard Rain,1998,R,16-Jan-98,97,36,5.9,"31,475",tt0120696,N/A,3,3,11,3,Thriller,15
Hard to Kill,1990,R,9-Feb-90,96,41,5.8,"26,659",tt0099739,N/A,7,11,1,18,Romance,12
Heat,1995,R,15-Dec-95,170,76,8.2,"557,580",tt0113277,N/A,8,5,2,44,Thriller,8
Heathers,1989,R,31-Mar-89,103,72,7.2,"83,648",tt0097493,N/A,16,11,22,28,Comedy,32
Heavenly Creatures,1994,R,14-Oct-94,99,N/A,7.3,"57,795",tt0110005,N/A,0,0,5,0,Horror,0
Heavy Metal,1981,R,7-Aug-81,86,51,6.7,"30,539",tt0082509,N/A,3,4,4,2,Horror,4
Heist,2001,R,9-Nov-01,109,66,6.5,"32,600",tt0252503,"$23,287,872 ",2,3,2,33,Thriller,5
Hellbound: Hellraiser II,1988,R,23-Dec-88,97,41,6.5,"40,301",tt0095294,N/A,1,2,0,5,Horror,13
Hellboy,2004,PG-13,2-Apr-04,122,72,6.8,"301,177",tt0167190,"$59,035,104 ",1,0,3,0,Horror,0
Hellraiser,1987,R,18-Sep-87,94,57,7,"99,356",tt0093177,N/A,2,2,10,11,Horror,8
Hellraiser: Hellseeker,2002,R,15-Oct-02,89,46,5,"10,764",tt0274546,N/A,7,2,0,15,Horror,6
Henry Fool,1997,R,19-Jun-98,137,68,7.2,"6,762",tt0122529,N/A,5,0,1,17,Comedy,13
Henry's Crime,2010,R,14-Jan-11,108,49,6,"18,377",tt1220888,"$100,000 ",0,2,7,12,Crime,11
Her,2013,R,10-Jan-14,126,90,8,"518,386",tt1798709,"$17,901,029 ",3,1,0,32,Sci-Fi,6
