Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
The Sessions,2012,R,16-Nov-12,95 min,79,7.2,"40,658",tt1866249,"$5,997,134 ",2,1,2,3,Romance,5
The Seventh Seal,1957,Not Rated,13-Oct-58,96 min,N/A,8.2,"157,335",tt0050976,N/A,0,1,7,0,Fantasy,0
The Shawshank Redemption,1994,R,14-Oct-94,142 min,80,9.3,"2,251,007",tt0111161,N/A,31,4,33,39,Drama,55
The Shining,1980,R,13-Jun-80,146 min,66,8.4,"859,906",tt0081505,N/A,1,3,3,10,Horror,0
The Shipping News,2001,R,18-Jan-02,111 min,47,6.7,"31,386",tt0120824,"$11,405,825 ",3,3,2,4,Romance,4
The Siege,1998,R,6-Nov-98,116 min,53,6.4,"67,030",tt0133952,N/A,7,2,4,20,Thriller,10
The Sixth Sense,1999,PG-13,6-Aug-99,107 min,64,8.1,"888,202",tt0167404,N/A,0,0,0,0,Mystery,0
The Social Network,2010,PG-13,1-Oct-10,120 min,95,7.7,"603,038",tt1285016,"$96,400,000 ",8,5,2,17,Drama,17
The Sting,1973,PG,25-Dec-73,129 min,83,8.3,"234,228",tt0070735,N/A,2,1,10,3,Crime,2
The Stuntman,1994,N/A,N/A,N/A,N/A,3.9,7,tt1933544,N/A,25,15,40,24,Romance,15
The Surfer King,2006,PG-13,N/A,95 min,N/A,3.9,334,tt0418206,N/A,0,0,0,0,Comedy,0
The Sweet Hereafter,1997,R,21-Nov-97,112 min,91,7.5,"31,347",tt0120255,N/A,0,1,3,5,Drama,1
The Taking of Pelham One Two Three,1974,R,14-Nov-74,104 min,68,7.7,"25,392",tt0072251,N/A,8,8,4,19,Crime,19
The Talented Mr. Ripley,1999,R,25-Dec-99,139 min,76,7.4,"175,612",tt0134119,N/A,2,0,1,4,Mystery,1
The Theory of Everything,2014,PG-13,26-Nov-14,123 min,72,7.7,"386,687",tt2980516,"$35,887,263 ",0,0,1,0,Romance,0
The Thing,1982,R,25-Jun-82,109 min,57,8.1,"356,329",tt0084787,N/A,8,2,28,9,Horror,18
The Things My Father Never Taught Me,2012,N/A,20-Apr-12,7 min,N/A,7.9,248,tt2234521,N/A,0,1,1,0,Short,0
The Three Musketeers,2011,PG-13,21-Oct-11,110 min,35,5.7,"101,336",tt1509767,"$20,356,913 ",0,0,3,0,Romance,0
The Time Machine,2002,PG-13,8-Mar-02,96 min,42,6,"116,770",tt0268695,"$56,684,819 ",0,0,1,0,Sci-Fi,0
The Tourist,2010,PG-13,10-Dec-10,103 min,37,6,"218,305",tt1243957,"$67,631,157 ",0,0,2,1,Thriller,3
The Truman Show,1998,PG,5-Jun-98,103 min,90,8.1,"898,405",tt0120382,N/A,0,1,5,10,Sci-Fi,3
The Ugly Truth,2009,R,24-Jul-09,96 min,28,6.4,"199,299",tt1142988,"$88,915,214 ",7,3,1,13,Romance,9
The Usual Suspects,1995,R,16-Aug-95,106 min,77,8.5,"961,807",tt0114814,N/A,11,3,4,36,Mystery,22
The Verdict,1982,R,17-Dec-82,129 min,77,7.7,"34,575",tt0084855,N/A,3,0,8,10,Drama,3
The Village,2004,PG-13,30-Jul-04,108 min,44,6.5,"237,350",tt0368447,"$114,170,863 ",0,0,0,0,Mystery,0
The Visitor,2007,PG-13,23-May-08,104 min,79,7.6,"40,939",tt0857191,"$9,234,510 ",0,0,1,1,Romance,2
The Way Back,2010,PG-13,21-Jan-11,133 min,66,7.3,"107,126",tt1023114,"$2,500,000 ",0,0,5,2,Adventure,3
The Whistleblower,2010,R,27-Oct-11,112 min,59,7.1,"31,005",tt0896872,"$900,000 ",2,1,1,20,Thriller,7
The White Ribbon,2009,R,5-Mar-10,144 min,82,7.8,"66,785",tt1149362,"$2,077,054 ",0,0,2,0,Mystery,0
The Wild Bunch,1969,R,19-Jun-69,135 min,97,7.9,"75,648",tt0065214,N/A,4,4,27,0,Western,0
The Wizard of Oz,1939,PG,25-Aug-39,102 min,100,8,"365,052",tt0032138,"$3,840,702 ",0,0,0,0,Musical,0
The Wolf of Wall Street,2013,R,25-Dec-13,180 min,75,8.2,"1,124,599",tt0993846,"$91,330,760 ",13,5,5,180,Crime,36
The Woodsman,2004,R,21-Jan-05,87 min,72,7.2,"31,478",tt0361127,"$1,456,291 ",7,1,5,26,Drama,15
The World is not Enough,1999,PG-13,19-Nov-99,128 min,57,6.4,"184,018",tt0143145,N/A,1,0,1,0,Adventure,0
The Wrestler,2008,R,30-Jan-09,109 min,80,7.9,"285,278",tt1125849,"$26,136,413 ",19,2,4,41,Drama,23
The X-Files: Fight the Future,1998,N/A,13-Oct-98,27 min,N/A,7.4,358,tt0365474,N/A,3,0,2,1,Sci-Fi,4
Transformers: The Movie,1986,PG,8-Aug-86,84 min,N/A,7.3,"36,621",tt0092106,N/A,0,0,2,0,Animation,0
Wall-E,2008,G,27-Jun-08,98 min,95,8.4,"967,549",tt0910970,"$223,749,872 ",0,0,0,0,Animation,0
White Christmas,1954,Not Rated,15-Nov-54,120 min,N/A,7.6,"31,174",tt0047673,N/A,0,0,0,0,Musical,0
Withnail and I,2006,N/A,N/A,15 min,N/A,5.3,17,tt0870218,N/A,0,1,1,38,Comedy,1
187,,,,,,,,,,10,11,11,37,Drama,27
Adaptation,,,,,,,,,,7,1,11,39,Drama,15
Airplane 2: The Sequel,,,,,,,,,,1,0,7,2,Sci-Fi,4
American Shaolin: King of Kickboxers II,,,,,,,,,,2,0,3,0,Action,0
Batman 2,,,,,,,,,,0,0,0,0,Fantasy,0
Bones,,,,,,,,,,8,7,20,30,Horror,30
Boondock Saints 2: All Saints Day,,,,,,,,,,20,7,4,115,Thriller,55
Buffy the Vampire Slayer,,,,,,,,,,2,7,1,2,Horror,4
Dave Barry's Complete Guide to Guys,,,,,,,,,,2,0,0,0,Comedy,10
Ed TV,,,,,,,,,,23,1,0,2,Comedy,7
Evil Dead II: Dead by Dawn,,,,,,,,,,0,3,2,0,Horror,1
Film,,,,,,,,,,A,B,D,F,Genre,S
Fright Night (1985),,,,,,,,,,5,1,7,3,Horror,3
Frozen (Disney),,,,,,,,,,0,0,0,0,Animation,0
Glengarry Glen Gross,,,,,,,,,,17,0,6,147,Drama,42
Grosse Point Blank,,,,,,,,,,3,0,6,22,Romance,3
Harold and Kumar Go to White Castle,,,,,,,,,,42,3,1,53,Adventure,66
Hellboy 2: The Golden Army,,,,,,,,,,4,1,2,0,Fantasy,1
Hellraiser 3: Hell on Earth,,,,,,,,,,5,5,3,20,Horror,19
Hidden Dragon Crouching Tiger,,,,,,,,,,0,0,0,0,Romance,0
Indiana Jones and the Raiders of the Lost Ark,,,,,,,,,,0,1,3,0,Adventure,1
Indiana Jones IV,,,,,,,,,,0,2,3,0,Adventure,0
Jennifer Eight,,,,,,,,,,9,6,8,70,Mystery,34
Jeux Interdits,,,,,,,,,,0,0,0,0,War,0
Kill Bill Volume 1 & 2,,,,,,,,,,18,28,17,48,Thriller,23
L' (The Adventure) Avventura,,,,,,,,,,0,0,1,0,Mystery,0
Le Diable par la Queue,,,,,,,,,,0,0,0,0,Comedy,0
Les Tontons Flingueurs,,,,,,,,,,0,0,0,0,Crime,0
Lies and Videotape Sex,,,,,,,,,,4,7,2,17,Drama,11
Love and Basketball,,,,,,,,,,26,3,14,8,Romance,15
Mr Brooks,,,,,,,,,,10,1,2,29,Thriller,4
