,Film,Genre,A,B,D,F,S,Unnamed: 0,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
49,"program, the",Drama,18,2,16,31,40,,,,,,,,,,
50,"shawshank redemption, the",Drama,31,4,33,39,55,,,,,,,,,,
51,"queen, the",Drama,0,0,0,0,0,,,,,,,,,,
52,"power of one, the",Drama,3,0,8,4,2,,,,,,,,,,
53,top gun,Drama,3,6,14,0,11,0.0,1986.0,PG,16 May 1986,110 min,50.0,6.9,"283,087",tt0092099,
54,pariah,Drama,8,0,13,10,14,0.0,2011.0,R,20 Jan 2011,86 min,79.0,7.2,"5,885",tt1233334,"$758,099"
55,petulia,Drama,1,1,9,0,0,0.0,1968.0,R,02 Sep 1968,105 min,,7.1,"2,705",tt0063426,
56,wonder boys,Comedy,3,1,6,14,14,0.0,2000.0,R,25 Feb 2000,107 min,73.0,7.3,"60,120",tt0185014,
57,withnail and i,Comedy,0,1,1,38,1,,,,,,,,,,
58,wag the dog,Comedy,1,0,2,8,5,0.0,1997.0,R,09 Jan 1998,97 min,73.0,7.2,"77,317",tt0120885,
59,win win,Comedy,3,0,3,19,32,0.0,2011.0,R,15 Apr 2011,106 min,75.0,7.1,"52,319",tt1606392,"$10,100,000"
60,un singe en hiver,Comedy,0,0,0,0,0,,,,,,,,,,
61,what about bob?,Comedy,6,4,1,0,3,0.0,1991.0,PG,17 May 1991,99 min,60.0,7.0,"60,767",tt0103241,
62,who's your daddy,Comedy,6,0,1,3,4,,,,,,,,,,
63,ordinary people,Drama,8,1,14,10,12,0.0,1980.0,R,19 Sep 1980,124 min,86.0,7.7,"45,278",tt0081283,
64,philadelphia,Drama,6,1,7,17,13,0.0,1993.0,PG-13,14 Jan 1994,125 min,66.0,7.7,"217,505",tt0107818,
65,"surfer king, the",Comedy,0,0,0,0,0,,,,,,,,,,
66,sunshine cleaning,Comedy,4,0,7,15,21,0.0,2008.0,R,17 Apr 2009,91 min,61.0,6.8,"68,621",tt0862846,"$12,033,702"
67,swingers,Comedy,19,26,3,26,25,0.0,1996.0,R,11 Apr 1997,96 min,71.0,7.2,"73,586",tt0117802,
68,tin men,Comedy,15,15,17,27,15,0.0,1987.0,R,13 Mar 1987,112 min,75.0,6.5,"7,527",tt0094155,
69,sugar and spice,Comedy,17,6,5,9,28,0.0,1989–,,06 Apr 1989,25 min,,8.1,23,tt0363379,
70,my week with marilyn,Drama,1,0,2,12,3,0.0,2011,R,23 Dec 2011,99 min,65.0,7.0,"82,007",tt1655420,"$12,600,000"
71,mud,Drama,11,8,4,0,28,0.0,2012,PG-13,10 May 2013,130 min,76.0,7.4,"163,320",tt1935179,"$21,589,307"
72,moneyball,Drama,8,1,0,8,10,0.0,2011,PG-13,23 Sep 2011,133 min,87.0,7.6,"349,587",tt1210166,"$75,605,492"
73,this is 40,Comedy,14,8,6,63,17,0.0,2012,R,21 Dec 2012,134 min,59.0,6.2,"124,171",tt1758830,"$65,200,000"
74,music of the heart,Drama,1,1,2,0,3,0.0,1999,PG,29 Oct 1999,124 min,54.0,6.8,"11,502",tt0166943,
75,superbad,Comedy,28,16,4,123,71,0.0,2007,R,17 Aug 2007,113 min,76.0,7.6,"508,694",tt0829482,"$121,463,226"
76,"passion of joan of arc, the",Drama,0,0,1,0,0,,,,,,,,,,
77,"synecdoche, new york",Comedy,5,0,2,37,5,0.0,2008,R,05 Feb 2009,124 min,67.0,7.6,"78,444",tt0383028,"$3,000,000"
78,one flew over the cuckoo's nest,Drama,14,3,4,12,8,0.0,1975,R,19 Nov 1975,133 min,83.0,8.7,"884,641",tt0073486,
79,"miracle worker, the",Drama,0,0,0,0,0,,,,,,,,,,
80,milk,Drama,5,0,7,8,12,0.0,2008,R,30 Jan 2009,128 min,84.0,7.5,"161,742",tt1013753,"$31,716,847"
81,smashed,Comedy,5,7,4,40,17,0.0,2012,R,14 Dec 2012,81 min,71.0,6.8,"16,181",tt2063781,"$375,981"
82,sexual life,Comedy,5,1,2,10,7,0.0,2004,R,19 Jun 2004,96 min,,5.0,900,tt0376874,
83,saving mr. banks,Comedy,0,0,1,0,0,0.0,2013,PG-13,20 Dec 2013,125 min,65.0,7.5,"147,963",tt2140373,"$53,260,198"
84,real genius,Comedy,0,0,0,0,0,0.0,1985,PG,07 Aug 1985,108 min,71.0,7.0,"29,339",tt0089886,
85,state and main,Comedy,4,3,3,6,3,0.0,2000,R,12 Jan 2001,105 min,75.0,6.7,"20,113",tt0120202,"$5,770,800"
86,"replacements, the",Comedy,17,3,14,15,24,,,,,,,,,,
87,little men,Drama,0,2,2,1,1,0.0,2016,PG,04 May 2017,85 min,86.0,6.7,"6,675",tt4919484,"$702,191"
88,raising arizona,Comedy,4,8,20,3,13,0.0,1987,PG-13,17 Apr 1987,94 min,68.0,7.3,"123,452",tt0093822,
89,semi-pro,Comedy,17,3,8,24,28,0.0,2008,R,29 Feb 2008,91 min,47.0,5.8,"77,000",tt0839980,"$33,370,443"
90,lincoln,Drama,0,2,18,1,3,0.0,2012,PG-13,16 Nov 2012,150 min,86.0,7.3,"239,062",tt0443272,"$129,477,447"
91,magnolia,Drama,13,6,10,168,34,0.0,1999,R,07 Jan 2000,188 min,77.0,8.0,"282,457",tt0175880,
92,malcolm x,Drama,2,9,4,1,13,0.0,1992,PG-13,18 Nov 1992,202 min,72.0,7.7,"82,459",tt0104797,
93,margaret,Drama,6,1,3,49,12,0.0,2011,R,01 Jun 2012,150 min,61.0,6.4,"15,594",tt0466893,"$46,495"
94,stepmom,Comedy,3,2,10,13,9,0.0,1998,PG-13,25 Dec 1998,125 min,58.0,6.8,"58,507",tt0120686,
95,light sleeper,Drama,5,1,2,26,8,0.0,1992,R,13 Mar 1992,103 min,70.0,6.9,"5,232",tt0102307,
96,kundun,Drama,0,0,0,0,0,0.0,1997,PG-13,16 Jan 1998,134 min,74.0,7.0,"25,507",tt0119485,
