Film,Genre,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,S
American Madness,Drama,1932,Passed,8/15/1932,75,,7.4,1739,tt0022626,,0,0,0,0,0
American Milkshake,Comedy,2013,R,1/20/2013,83,30,4.8,309,tt2254364,,10,0,9,26,22
American Pie,Comedy,1999,R,7/9/1999,95,58,7,367618,tt0163651,,6,0,9,33,29
American Sniper,Drama,2014,R,1/16/2015,133,72,7.3,426179,tt2179136,274377268,20,3,3,60,28
American Splendor,Drama,2003,R,9/12/2003,101,90,7.4,46666,tt0305206,5977550,6,2,9,3,18
Amour,Romance,2012,PG-13,9/20/2012,127,94,7.9,90346,tt1602620,6700000,0,0,0,1,0
An Education,Drama,2009,PG-13,2/5/2010,100,85,7.3,126214,tt1174732,12512069,1,0,0,0,0
Analyze That,Crime,2002,R,12/6/2002,96,37,5.9,81023,tt0289848,32070920,8,3,2,74,24
Analyze This,Crime,1999,R,3/5/1999,103,61,6.7,143019,tt0122933,,8,2,7,56,22
Angel Eyes,Romance,2001,R,5/18/2001,102,39,5.6,22124,tt0225071,,9,3,11,1,13
Anna Karenina,Drama,2012,R,9/7/2012,129,63,6.6,89166,tt1781769,12802907,0,0,3,0,0
Annie Hall,Romance,1977,PG,4/20/1977,93,92,8,246741,tt0075686,,2,0,1,0,1
Anonymous,Thriller,2011,PG-13,10/28/2011,130,50,6.9,38807,tt1521197,4463292,1,0,2,0,0
Antitrust,Thriller,2001,PG-13,1/12/2001,108,31,6.1,28082,tt0218817,10965209,3,0,2,1,5
Antz,Fantasy,1998,PG,10/2/1998,83,72,6.5,143658,tt0120587,,1,0,2,0,0
Apollo 13,Adventure,1995,PG,6/30/1995,140,77,7.6,259692,tt0112384,,0,0,0,0,0
Apt Pupil,Thriller,1998,R,10/23/1998,111,51,6.7,35097,tt0118636,,0,0,1,1,0
Arbitrage,Thriller,2012,R,9/14/2012,107,73,6.6,48611,tt1764183,7918283,4,1,5,61,5
Arcade,Sci-Fi,1993,R,3/30/1994,85,,4.7,1442,tt0106302,,1,0,1,20,14
Arctic Blue,Thriller,1993,R,N/A,95,,5.1,782,tt0106303,,7,4,22,27,18
Argo,Thriller,2012,R,10/12/2012,120,86,7.7,559601,tt1024648,136019448,1,1,5,24,4
Armageddon,Sci-Fi,1998,PG-13,7/1/1998,151,42,6.7,387888,tt0120591,,15,4,12,4,14
Arsenic and Old Lace,Crime,1944,Not Rated,9/23/1944,118,,8,63845,tt0036613,,0,0,0,0,0
Arthur,Comedy,2011,PG-13,4/8/2011,110,36,5.7,50207,tt1334512,29200000,5,2,1,8,15
As Good as It Gets,Romance,1997,PG-13,12/25/1997,139,67,7.7,268254,tt0119822,,4,3,2,5,4
Assassins,Thriller,1995,R,10/6/1995,132,,6.3,75979,tt0112401,,5,5,5,64,31
At First Sight,Drama,1999,PG-13,1/15/1999,128,40,6,12687,tt0132512,,0,0,0,0,0
August: Osage County,Drama,2013,R,1/10/2014,121,58,7.2,82453,tt1322269,29202643,12,5,32,38,25
Austin Powers: International Man of Mystery,Comedy,1997,PG-13,5/2/1997,89,51,7,216258,tt0118655,,2,0,4,0,1
Austin Powers: The Spy Who Shagged Me,Comedy,1999,PG-13,6/11/1999,95,59,6.6,212319,tt0145660,,12,1,3,0,5
Authors Anonymous,Comedy,2014,PG-13,3/18/2014,92,16,4.3,1974,tt2114461,,1,0,6,0,3
Autumn in New York,Romance,2000,PG-13,8/11/2000,103,24,5.7,24293,tt0174480,,4,2,8,1,5
Avatar,Sci-Fi,2009,PG-13,12/18/2009,162,83,7.8,1095138,tt0499549,749700000,10,8,14,1,14
Awakenings,Drama,1990,PG-13,1/11/1991,121,74,7.8,119327,tt0099077,,0,0,0,0,0
Babel,Thriller,2006,R,11/10/2006,143,69,7.4,283859,tt0449467,34237104,7,1,7,21,6
Bachelor Party,Comedy,1984,R,6/29/1984,105,56,6.3,34617,tt0086927,,12,3,3,2,21
Bad Boys,Comedy,1995,R,4/7/1995,119,41,6.9,233204,tt0112442,,21,4,6,64,30
Bad Country,Crime,2014,R,4/29/2014,95,,5.8,7866,tt2350892,,7,3,10,83,21
Bad Lieutenant,Crime,1992,NC-17,12/17/1992,96,70,7.1,37481,tt0103759,,5,2,3,68,21
Bad Santa,Crime,2003,R,11/26/2003,92,70,7,131454,tt0307987,,24,8,3,137,44
Bad Teacher,Comedy,2011,R,6/24/2011,92,47,5.6,188694,tt1284575,100292856,7,3,2,23,10
Badlands,Thriller,1973,PG,1/5/1974,94,93,7.8,63169,tt0069762,,1,4,3,0,0
Bamboozled,Drama,2000,R,10/20/2000,135,50,6.5,9814,tt0215545,1883628,13,3,12,1,1
Barton Fink,Thriller,1991,R,8/21/1991,116,69,7.7,109491,tt0101410,,5,13,30,4,5
Basquiat,Drama,1996,R,8/9/1996,107,65,6.9,18958,tt0115632,,2,0,3,21,13
Batman,Fantasy,1989,PG-13,6/23/1989,126,69,7.5,329552,tt0096895,,1,1,2,1,3
Battle Los Angeles,Sci-Fi,2011,PG-13,3/11/2011,116,37,5.7,172012,tt1217613,83537651,13,0,18,2,21
Bean,Comedy,1997,PG-13,11/7/1997,89,52,6.5,94780,tt0118689,,4,1,11,0,1
Beasts of the Southern Wild,Fantasy,2012,PG-13,7/5/2012,93,86,7.3,79506,tt2125435,12784397,6,0,5,1,3
Beavis and Butt-Head Do America,Animation,1996,PG-13,12/20/1996,81,64,6.8,50067,tt0115641,,14,1,13,0,0
Beginners,Romance,2010,R,6/9/2011,105,81,7.2,85878,tt1532503,5764842,1,0,0,6,0
Being Human,Fantasy,2011,TV-14,1/17/2011,44,,7.5,23849,tt1595680,,0,0,1,3,1
Being John Malkovich,Fantasy,1999,R,12/3/1999,113,90,7.7,301611,tt0120601,,1,2,13,14,14
Being There,Drama,1979,PG,2/8/1980,130,83,8,63525,tt0078841,,6,3,6,1,3
Belle,Romance,2013,PG,6/13/2014,100,64,7.3,27285,tt2404181,8792708,0,0,1,0,0
Beloved,Drama,1998,R,10/16/1998,172,57,6,6937,tt0120603,,0,1,8,0,1
Benny & Joon,Romance,1993,PG,4/23/1993,98,57,7.2,53594,tt0106387,,0,0,0,0,0
Big,Fantasy,1988,PG,6/3/1988,104,73,7.3,191523,tt0094737,,2,0,7,1,2
Big Eyes,Crime,2014,PG-13,12/25/2014,106,62,7,82916,tt1126590,8021168,2,2,1,1,3
Big Fish,Fantasy,2003,PG-13,1/9/2004,125,58,8,406074,tt0319061,66257002,3,3,3,0,4
Birdman,Comedy,2014,R,10/17/2014,119,87,7.7,563054,tt2562232,,17,3,5,78,33
Birthday Girl,Romance,2001,R,2/1/2002,93,51,6.1,23959,tt0188453,4919896,1,0,0,14,1
Black Panther,Sci-Fi,2018,PG-13,2/16/2018,134,88,7.3,587388,tt1825683,501105037,1,0,0,0,7
Black Rain,Crime,1989,R,9/22/1989,125,56,6.7,47914,tt0096933,,8,2,4,1,9
Black Snake Moan,Drama,2006,R,3/2/2007,116,52,6.9,59991,tt0462200,9262318,10,6,12,29,42
BlacKkKlansman,Crime,2018,R,8/10/2018,135,83,7.5,198998,tt7349662,,8,7,11,33,18
Blade Runner,Sci-Fi,1982,R,6/25/1982,117,84,8.1,671833,tt0083658,,4,1,1,11,4
Blood and Wine,Thriller,1996,R,2/21/1997,101,,6,8985,tt0115710,,6,2,6,18,9
Blood Simple,Thriller,1984,R,1/18/1985,99,81,7.6,83644,tt0086979,,8,0,5,7,4
Blow,Crime,2001,R,4/6/2001,124,52,7.6,235080,tt0221027,,5,3,2,91,24
Blue Valentine,Romance,2010,R,1/28/2011,112,81,7.4,179610,tt1120985,9600000,6,1,3,21,13
Body Heat,Thriller,1981,R,8/28/1981,113,77,7.4,29409,tt0082089,,2,0,4,5,6
Body of Evidence,Romance,1992,R,1/15/1993,99,29,4.5,13732,tt0106453,,2,3,0,8,1
Bodyguard,Romance,2018,TV-MA,8/26/2018,60,,8.1,83514,tt7493974,,5,3,3,25,6
Bonnie and Clyde,Romance,1967,R,8/14/1967,111,86,7.8,99575,tt0061418,,2,3,20,1,0
Boogie Nights,Drama,1997,R,10/31/1997,155,85,7.9,231876,tt0118749,,18,3,3,98,25
Bottle Rocket,Crime,1996,R,2/21/1996,91,66,7,68099,tt0115734,,3,2,5,36,25
Bound,Thriller,1996,R,10/4/1996,109,61,7.3,49122,tt0115736,,7,6,4,90,28
Boyhood,Drama,2014,R,8/15/2014,165,100,7.9,328711,tt1065073,18859617,13,8,8,41,22
Brazil,Sci-Fi,1985,R,12/18/1985,132,84,7.9,183229,tt0088846,,1,1,5,3,7
Break,Drama,2019,N/A,2/14/2019,85,,4.4,1078,tt9805504,,0,0,0,0,0
Breakdown,Thriller,1997,R,5/2/1997,93,73,6.9,47264,tt0118771,,8,10,5,24,9
Breaking Away,Drama,1979,PG,7/20/1979,101,91,7.7,21018,tt0078902,,1,0,15,0,3
Bridesmaids,Comedy,2011,R,5/13/2011,125,75,6.8,261565,tt1478338,166500000,7,5,2,6,19
Bringing Out the Dead,Drama,1999,R,10/22/1999,121,70,6.8,62055,tt0163988,,4,1,4,11,10
Broadcast News,Romance,1987,R,12/25/1987,133,84,7.2,26026,tt0092699,,4,2,7,8,9
Broken Arrow,Thriller,1996,R,2/9/1996,108,61,6,88924,tt0115759,,5,1,5,2,8
Broken Embraces,Romance,2009,R,1/15/2010,127,76,7.2,37315,tt0913425,4900000,2,3,2,8,2
